[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/stat/ | SQL: SHOW COLUMNS FROM `qh_visit` [ RunTime:0.003958s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/stat/ | SQL: SELECT qh_member.uid,qh_member.username,qh_member.default_pic FROM `qh_visit` LEFT JOIN qh_member ON qh_visit.uid=qh_member.uid WHERE qh_visit.visit_uid=82 ORDER BY qh_visit.add_time DESC LIMIT 4   [ RunTime:0.000579s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/stat/ | SQL: SHOW COLUMNS FROM `qh_member_field` [ RunTime:0.004354s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/stat/ | SQL: SELECT * FROM `qh_member_field` WHERE uid=82 LIMIT 1   [ RunTime:0.000809s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/main/attention_more/ | INFO: Tag[ route_check ] --START--
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/main/attention_more/ | INFO: Run CheckRoute Behavior [ RunTime:0.000324s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/main/attention_more/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000458s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/main/attention_more/ | INFO: Tag[ app_begin ] --START--
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/main/attention_more/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000326s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/main/attention_more/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000403s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/main/attention_more/ | SQL: SHOW COLUMNS FROM `qh_member` [ RunTime:0.012814s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/main/attention_more/ | SQL: SELECT A.username,A.default_pic,A.default_pid,A.default_photonum,A.photonum,A.sex,A.is_videoauth,A.group_type,A.login_time,A.register_time,A.class,A.college,A.hometown_prov,A.hometown_city,A.birth_y,A.birth_m,A.birth_d,A.height,A.constellation,A.blood,A.stature,A.grade,A.introduce,A.want_content,A.score_impress,A.score_impress_num,A.score_face,A.score_face_num,A.score_body,A.score_body_num,A.score_temper,A.score_temper_num,A.user_ping_offset,A.diary_name,A.card_num,A.profile_completed,B.* FROM qh_member AS A LEFT JOIN qh_member_field AS B ON A.uid=B.uid WHERE A.uid=82 LIMIT 1   [ RunTime:0.001247s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/main/attention_more/ | SQL: SHOW COLUMNS FROM `qh_visit` [ RunTime:0.004111s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/main/attention_more/ | SQL: SELECT qh_member.uid,qh_member.username,qh_member.default_pic FROM `qh_visit` LEFT JOIN qh_member ON qh_visit.uid=qh_member.uid WHERE qh_visit.visit_uid=82 ORDER BY qh_visit.add_time DESC LIMIT 4   [ RunTime:0.000607s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/main/attention_more/ | SQL: SHOW COLUMNS FROM `qh_member_field` [ RunTime:0.003668s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/main/attention_more/ | SQL: SELECT * FROM `qh_member_field` WHERE uid=82 LIMIT 1   [ RunTime:0.000461s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/main/attention_more/ | SQL: SELECT A.username,A.default_pic,A.default_pid,A.default_photonum,A.photonum,A.sex,A.is_videoauth,A.group_type,A.login_time,A.register_time,A.class,A.college,A.hometown_prov,A.hometown_city,A.birth_y,A.birth_m,A.birth_d,A.height,A.constellation,A.blood,A.stature,A.grade,A.introduce,A.want_content,A.score_impress,A.score_impress_num,A.score_face,A.score_face_num,A.score_body,A.score_body_num,A.score_temper,A.score_temper_num,A.user_ping_offset,A.diary_name,A.card_num,A.profile_completed,B.* FROM qh_member AS A LEFT JOIN qh_member_field AS B ON A.uid=B.uid WHERE A.uid=82 LIMIT 1   [ RunTime:0.001386s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/main/attention_more/ | SQL: SELECT qh_member.uid,qh_member.username,qh_member.default_pic FROM `qh_visit` LEFT JOIN qh_member ON qh_visit.uid=qh_member.uid WHERE qh_visit.visit_uid=82 ORDER BY qh_visit.add_time DESC LIMIT 4   [ RunTime:0.000767s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/main/attention_more/ | SQL: SELECT * FROM `qh_member_field` WHERE uid=82 LIMIT 1   [ RunTime:0.010167s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/main/attention_more/ | SQL: SHOW COLUMNS FROM `qh_feed` [ RunTime:0.131421s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/main/attention_more/ | SQL: SELECT qh_feed.uid,qh_feed.body,qh_feed.count,qh_feed.type,qh_feed.body,qh_feed.add_time,qh_member.username,qh_member.default_pic,qh_member.sex FROM `qh_feed` LEFT JOIN qh_member ON qh_feed.uid=qh_member.uid ORDER BY add_time DESC LIMIT 0,10   [ RunTime:0.038486s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/main/attention_more/ | INFO: Tag[ view_template ] --START--
[ 2012-05-09T18:06:49+08:00 ] /index.php?s=/main/attention_more/ | INFO: Run LocationTemplate Behavior [ RunTime:0.038094s ]
[ 2012-05-09T18:06:49+08:00 ] /index.php?s=/main/attention_more/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.038209s ]
[ 2012-05-09T18:06:49+08:00 ] /index.php?s=/main/attention_more/ | INFO: Tag[ view_parse ] --START--
[ 2012-05-09T18:06:49+08:00 ] /index.php?s=/main/attention_more/ | INFO: Run ParseTemplate Behavior [ RunTime:0.202433s ]
[ 2012-05-09T18:06:49+08:00 ] /index.php?s=/main/attention_more/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.202547s ]
[ 2012-05-09T18:06:49+08:00 ] /index.php?s=/main/attention_more/ | INFO: Tag[ view_filter ] --START--
[ 2012-05-09T18:06:49+08:00 ] /index.php?s=/main/attention_more/ | INFO: Run ContentReplace Behavior [ RunTime:0.000819s ]
[ 2012-05-09T18:06:49+08:00 ] /index.php?s=/main/attention_more/ | INFO: Run TokenBuild Behavior [ RunTime:0.000418s ]
[ 2012-05-09T18:06:49+08:00 ] /index.php?s=/main/attention_more/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000218s ]
[ 2012-05-09T18:06:49+08:00 ] /index.php?s=/main/attention_more/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000412s ]
[ 2012-05-09T18:06:49+08:00 ] /index.php?s=/main/attention_more/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002145s ]
[ 2012-05-09T18:06:49+08:00 ] /index.php?s=/main/attention_more/ | INFO: Tag[ view_end ] --START--
[ 2012-05-09T18:06:49+08:00 ] /index.php?s=/main/attention_more/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000699s ]
[ 2012-05-09T18:06:49+08:00 ] /index.php?s=/main/attention_more/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001035s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/question/sender | INFO: Tag[ route_check ] --START--
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/question/sender | INFO: Run CheckRoute Behavior [ RunTime:0.000367s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/question/sender | INFO: Tag[ route_check ] --END-- [ RunTime:0.000495s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/question/sender | INFO: Tag[ app_begin ] --START--
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/question/sender | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000420s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/question/sender | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000504s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/question/sender | SQL: SHOW COLUMNS FROM `qh_member` [ RunTime:0.004015s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/question/sender | SQL: SELECT A.username,A.default_pic,A.default_pid,A.default_photonum,A.photonum,A.sex,A.is_videoauth,A.group_type,A.login_time,A.register_time,A.class,A.college,A.hometown_prov,A.hometown_city,A.birth_y,A.birth_m,A.birth_d,A.height,A.constellation,A.blood,A.stature,A.grade,A.introduce,A.want_content,A.score_impress,A.score_impress_num,A.score_face,A.score_face_num,A.score_body,A.score_body_num,A.score_temper,A.score_temper_num,A.user_ping_offset,A.diary_name,A.card_num,A.profile_completed,B.* FROM qh_member AS A LEFT JOIN qh_member_field AS B ON A.uid=B.uid WHERE A.uid=82 LIMIT 1   [ RunTime:0.000693s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/question/sender | SQL: SHOW COLUMNS FROM `qh_visit` [ RunTime:0.003400s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/question/sender | SQL: SELECT qh_member.uid,qh_member.username,qh_member.default_pic FROM `qh_visit` LEFT JOIN qh_member ON qh_visit.uid=qh_member.uid WHERE qh_visit.visit_uid=82 ORDER BY qh_visit.add_time DESC LIMIT 4   [ RunTime:0.000522s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/question/sender | SQL: SHOW COLUMNS FROM `qh_member_field` [ RunTime:0.003661s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/question/sender | SQL: SELECT * FROM `qh_member_field` WHERE uid=82 LIMIT 1   [ RunTime:0.000398s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/question/sender | SQL: SHOW COLUMNS FROM `qh_question` [ RunTime:0.059203s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/question/sender | SQL: SELECT * FROM `qh_question` WHERE ( `uid` = '82' ) ORDER BY new_answer desc, add_time desc  [ RunTime:0.017338s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/question/sender | INFO: Tag[ view_template ] --START--
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/question/sender | INFO: Run LocationTemplate Behavior [ RunTime:0.019093s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/question/sender | INFO: Tag[ view_template ] --END-- [ RunTime:0.019209s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/question/sender | INFO: Tag[ view_parse ] --START--
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/question/sender | NOTIC: [8] Undefined variable: m ea851ceeae65a77d365afaf24931edbe.php 第 297 行.
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/question/sender | NOTIC: [8] Undefined variable: m ea851ceeae65a77d365afaf24931edbe.php 第 354 行.
